4.96,4.96,,
4.52,4.52,,
-2.68,-2.68,,
-2.74,-2.74,,
-2.78,-2.78,,
4.33,4.33,,
3.02,3.01,,
-2.71,-2.7,,
-2.65,-2.65,,
1.18,1.17,,
2.29,2.29,,
-2.65,-2.64,,
-0.46,-0.46,,
4.35,4.35,,
-2.68,-2.68,,
0.59,0.59,,
-2.67,-2.66,,
-2.75,-2.75,,
-0.61,-0.61,,
0.92,0.92,,
-2.64,-2.64,,
-0.13,-0.13,,
-2.75,-2.74,,
3.56,3.56,,
-2.65,-2.65,,
-2.77,-2.76,,
4.31,4.31,,
2.84,2.84,,
-2.68,-2.68,,
-2.69,-2.68,,
3.76,3.76,,
4.95,4.95,,
-2.76,-2.76,,
-2.63,-2.63,,
-2.74,-2.74,,
4.8,4.79,,
-0.36,-0.36,,
3.36,3.35,,
-2.76,-2.75,,
-2.7,-2.69,,
-2.69,-2.68,,
4.08,4.08,,
-2.71,-2.7,,
-2.74,-2.74,,
-2.69,-2.69,,
2.95,2.95,,
-2.77,-2.76,,
4.06,4.06,,
3.55,3.54,,
1.03,1.03,,
-2.63,-2.63,,
2.64,2.64,,
2.12,2.12,,
1.32,1.32,,
-2.75,-2.75,,
2.5,2.5,,
2.42,2.42,,
3.87,3.87,,
0.12,0.12,,
-2.69,-2.69,,
4.07,4.06,,
-2.77,-2.76,,
0.22,0.22,,
-2.64,-2.64,,
1.9,-2.73,,
-2.65,-2.66,,
5.57,-2.64,,
4.13,4.69,,
-2.65,0.95,,
2.81,0.48,,
-2.68,-2.68,,
-0.47,-2.65,,
1.06,-2.77,,
4.4,-2.76,,
2.92,-2.65,,
4.39,-2.63,,
3.06,-2.66,,
3.42,3.98,,
-1.33,-0.07,,
-2.63,-2.64,,
-2.66,-2.65,,
-2.64,-2.63,,
-2.63,4.88,,
3.62,-2.67,,
3.25,2.93,,
-2.66,-2.68,,
3.45,4.32,,
2.56,-2.71,,
1.7,5.04,,
1.56,2.95,,
3.32,-2.4,,
4.72,-2.71,,
3.18,3.43,,
1.88,-2.77,,
-0.09,4.83,,
1.81,-2.64,,
4.27,-2.65,,
-0.27,4.75,,
-0.94,5,,
0.33,1.9,0.5098,0.0011
2.94,4.48,0.4896,-0.0037
2.29,3.89,0.4673,-0.01
3.94,-2.73,0.5335,-0.0105
3.1,1.09,0.5919,0.0278
4.97,1.28,0.6694,0.0684
2.05,3.87,0.6466,0.0638
-2.66,-0.04,0.5898,0.0333
4.99,-2.69,0.6668,0.0334
12.36,-2.74,0.8169,0.0325
17.31,4.94,0.9782,0.0702
4.45,5.03,0.9998,0.0976
-2.66,-0.74,0.9997,0.1166
-0.79,4.3,0.9964,0.1642
2.34,4.12,0.9763,0.1619
-2.65,0.08,0.9766,0.1895
1.88,4.93,0.9895,0.2329
-2.65,1.18,0.9897,0.2713
2.99,3.99,1.0471,0.3387
-6.88,-2.77,0.9844,0.3171
-2.72,4.79,0.948,0.3558
7.6,-2.74,1.0504,0.3548
2.1,4.99,1.0727,0.406
4.85,1.13,1.1487,0.4447
-0.98,2.9,1.1033,0.4381
0.76,1.78,1.1374,0.4824
-2.65,2.61,1.1386,0.5361
2.69,-2.75,1.1224,0.4655
2.15,-2.73,1.1155,0.4098
1.99,5.18,1.1622,0.4884
1.95,-8.27,1.2086,0.4325
-3.55,-0.01,1.1355,0.3948
19.06,14.83,1.2766,0.4936
4.28,-1.52,1.347,0.506
4.39,13.42,1.4172,0.6665
1.13,-5.83,1.4559,0.6356
4.01,4.98,1.448,0.6375
2.89,5.68,1.4805,0.6979
12.36,10.17,1.5705,0.7661
3.54,2.18,1.6335,0.8154
2.73,6.16,1.6878,0.9039
3.19,-3.69,1.7466,0.8938
3.94,4.64,1.7452,0.8994
3.07,4.73,1.803,0.9737
5.81,-1.14,1.8885,0.9897
1.64,1.99,1.9318,1.0365
18.39,12.8,2.0862,1.135
4.23,-8.3,2.1562,1.0796
12.78,12.46,2.2434,1.1636
4.94,2.33,2.2573,1.1515
5.37,2.32,2.3007,1.1644
3.99,-1.17,2.3669,1.179
2.48,-5.38,2.3653,1.0988
3.31,8.31,2.3772,1.1607
1.31,-0.21,2.3771,1.1454
-2.63,5.28,2.3783,1.2257
6.12,6.6,2.4145,1.2667
3.13,9.04,2.4216,1.3329
3.56,1.28,2.4185,1.307
4.32,-2.22,2.4605,1.2836
-0.92,5.03,2.4782,1.3608
5.46,-2.28,2.4921,1.2974
-2.65,2.59,2.4933,1.3509
4.28,6.1,2.5339,1.4097
4.66,4.95,2.6069,1.4856
1.8,-8.14,2.6059,1.4315
3.73,-2.56,2.6697,1.4325
5.1,3.74,2.665,1.4963
5.63,-5.14,2.68,1.398
3.89,2.91,2.7454,1.4176
4.47,-2.64,2.762,1.3864
4.43,2.45,2.8331,1.4377
3.71,2.63,2.8749,1.4905
